lines,APs,time
400,1,436
400,1,433
400,1,438
400,1,433
400,1,433
400,1,446
400,1,426
400,1,440
400,1,439
400,1,435
400,1,435
400,1,444
400,1,432
400,1,440
400,1,433
400,1,442
400,1,428
400,1,434
400,1,436
400,1,429
400,5,444
400,5,434
400,5,459
400,5,431
400,5,442
400,5,440
400,5,444
400,5,432
400,5,453
400,5,442
400,5,436
400,5,447
400,5,438
400,5,453
400,5,432
400,5,435
400,5,436
400,5,437
400,5,427
400,5,433
400,9,426
400,9,444
400,9,440
400,9,438
400,9,437
400,9,437
400,9,435
400,9,447
400,9,447
400,9,445
400,9,431
400,9,434
400,9,436
400,9,440
400,9,449
400,9,440
400,9,439
400,9,437
400,9,436
400,9,439
400,13,439
400,13,442
400,13,446
400,13,439
400,13,442
400,13,446
400,13,443
400,13,448
400,13,441
400,13,439
400,13,449
400,13,429
400,13,441
400,13,443
400,13,429
400,13,437
400,13,440
400,13,443
400,13,433
400,13,443
400,17,429
400,17,431
400,17,435
400,17,437
400,17,436
400,17,439
400,17,437
400,17,435
400,17,440
400,17,430
400,17,439
400,17,440
400,17,444
400,17,442
400,17,435
400,17,436
400,17,442
400,17,436
400,17,430
400,17,448
400,21,448
400,21,441
400,21,441
400,21,446
400,21,441
400,21,445
400,21,443
400,21,445
400,21,444
400,21,440
400,21,443
400,21,432
400,21,453
400,21,444
400,21,439
400,21,439
400,21,450
400,21,443
400,21,434
400,21,437
400,25,442
400,25,444
400,25,426
400,25,451
400,25,437
400,25,453
400,25,437
400,25,444
400,25,440
400,25,444
400,25,433
400,25,443
400,25,442
400,25,429
400,25,438
400,25,428
400,25,436
400,25,435
400,25,432
400,25,437
400,29,446
400,29,431
400,29,436
400,29,434
400,29,436
400,29,438
400,29,441
400,29,445
400,29,435
400,29,432
400,29,438
400,29,439
400,29,436
400,29,435
400,29,442
400,29,438
400,29,439
400,29,431
400,29,447
400,29,437
400,33,451
400,33,436
400,33,428
400,33,437
400,33,431
400,33,443
400,33,447
400,33,447
400,33,436
400,33,453
400,33,437
400,33,441
400,33,441
400,33,437
400,33,443
400,33,441
400,33,446
400,33,451
400,33,447
400,33,452
400,37,441
400,37,439
400,37,449
400,37,437
400,37,434
400,37,436
400,37,439
400,37,434
400,37,448
400,37,459
400,37,442
400,37,441
400,37,444
400,37,443
400,37,437
400,37,428
